Source,Target,Weight,Type
federalist,federalist_1,271,undirected
federalist,federalist_10,290,undirected
federalist,federalist_11,283,undirected
federalist,federalist_12,307,undirected
federalist,federalist_13,212,undirected
federalist,federalist_14,292,undirected
federalist,federalist_15,289,undirected
federalist,federalist_16,286,undirected
federalist,federalist_17,290,undirected
federalist,federalist_18,90,undirected
federalist,federalist_19,170,undirected
federalist,federalist_2,269,undirected
federalist,federalist_20,132,undirected
federalist,federalist_21,288,undirected
federalist,federalist_22,587,undirected
federalist,federalist_23,270,undirected
federalist,federalist_24,284,undirected
federalist,federalist_25,294,undirected
federalist,federalist_26,296,undirected
federalist,federalist_27,235,undirected
federalist,federalist_28,290,undirected
federalist,federalist_29,286,undirected
federalist,federalist_3,176,undirected
federalist,federalist_30,298,undirected
federalist,federalist_31,301,undirected
federalist,federalist_32,99,undirected
federalist,federalist_33,262,undirected
federalist,federalist_34,294,undirected
federalist,federalist_35,296,undirected
federalist,federalist_36,300,undirected
federalist,federalist_37,296,undirected
federalist,federalist_38,402,undirected
federalist,federalist_39,292,undirected
federalist,federalist_4,10,undirected
federalist,federalist_40,294,undirected
federalist,federalist_41,336,undirected
federalist,federalist_42,299,undirected
federalist,federalist_43,286,undirected
federalist,federalist_44,291,undirected
federalist,federalist_45,276,undirected
federalist,federalist_46,277,undirected
federalist,federalist_47,278,undirected
federalist,federalist_48,294,undirected
federalist,federalist_49,299,undirected
federalist,federalist_5,29,undirected
federalist,federalist_50,102,undirected
federalist,federalist_51,232,undirected
federalist,federalist_52,295,undirected
federalist,federalist_53,296,undirected
federalist,federalist_54,287,undirected
federalist,federalist_55,285,undirected
federalist,federalist_56,288,undirected
federalist,federalist_57,287,undirected
federalist,federalist_58,294,undirected
federalist,federalist_59,293,undirected
federalist,federalist_6,258,undirected
federalist,federalist_60,290,undirected
federalist,federalist_61,242,undirected
federalist,federalist_62,295,undirected
federalist,federalist_63,307,undirected
federalist,federalist_64,269,undirected
federalist,federalist_65,276,undirected
federalist,federalist_66,291,undirected
federalist,federalist_67,281,undirected
federalist,federalist_68,267,undirected
federalist,federalist_69,285,undirected
federalist,federalist_7,272,undirected
federalist,federalist_70,297,undirected
federalist,federalist_71,258,undirected
federalist,federalist_72,262,undirected
federalist,federalist_73,281,undirected
federalist,federalist_74,171,undirected
federalist,federalist_75,262,undirected
federalist,federalist_76,275,undirected
federalist,federalist_77,281,undirected
federalist,federalist_78,297,undirected
federalist,federalist_79,280,undirected
federalist,federalist_8,295,undirected
federalist,federalist_80,288,undirected
federalist,federalist_81,294,undirected
federalist,federalist_82,104,undirected
federalist,federalist_83,370,undirected
federalist,federalist_84,357,undirected
federalist,federalist_85,288,undirected
federalist,federalist_9,279,undirected
federalist_1,federalist,271,undirected
federalist_1,federalist_12,6,undirected
federalist_1,federalist_13,1,undirected
federalist_1,federalist_14,55,undirected
federalist_1,federalist_15,4,undirected
federalist_1,federalist_22,61,undirected
federalist_1,federalist_25,4,undirected
federalist_1,federalist_35,2,undirected
federalist_1,federalist_36,12,undirected
federalist_1,federalist_79,23,undirected
federalist_1,federalist_8,3,undirected
federalist_1,federalist_84,25,undirected
federalist_1,federalist_85,177,undirected
federalist_10,federalist,290,undirected
federalist_10,federalist_20,1,undirected
federalist_10,federalist_37,79,undirected
