Source,Target,Weight,Type
federalist,federalist_1,711,undirected
federalist,federalist_10,715,undirected
federalist,federalist_11,680,undirected
federalist,federalist_12,814,undirected
federalist,federalist_13,524,undirected
federalist,federalist_14,731,undirected
federalist,federalist_15,730,undirected
federalist,federalist_16,695,undirected
federalist,federalist_17,717,undirected
federalist,federalist_18,217,undirected
federalist,federalist_19,379,undirected
federalist,federalist_2,615,undirected
federalist,federalist_20,387,undirected
federalist,federalist_21,709,undirected
federalist,federalist_22,1473,undirected
federalist,federalist_23,629,undirected
federalist,federalist_24,684,undirected
federalist,federalist_25,738,undirected
federalist,federalist_26,750,undirected
federalist,federalist_27,603,undirected
federalist,federalist_28,716,undirected
federalist,federalist_29,696,undirected
federalist,federalist_3,407,undirected
federalist,federalist_30,761,undirected
federalist,federalist_31,781,undirected
federalist,federalist_32,304,undirected
federalist,federalist_33,671,undirected
federalist,federalist_34,738,undirected
federalist,federalist_35,751,undirected
federalist,federalist_36,770,undirected
federalist,federalist_37,751,undirected
federalist,federalist_38,901,undirected
federalist,federalist_39,728,undirected
federalist,federalist_4,41,undirected
federalist,federalist_40,739,undirected
federalist,federalist_41,940,undirected
federalist,federalist_42,768,undirected
federalist,federalist_43,697,undirected
federalist,federalist_44,726,undirected
federalist,federalist_45,654,undirected
federalist,federalist_46,657,undirected
federalist,federalist_47,656,undirected
federalist,federalist_48,740,undirected
federalist,federalist_49,768,undirected
federalist,federalist_5,84,undirected
federalist,federalist_50,351,undirected
federalist,federalist_51,547,undirected
federalist,federalist_52,744,undirected
federalist,federalist_53,750,undirected
federalist,federalist_54,700,undirected
federalist,federalist_55,739,undirected
federalist,federalist_56,705,undirected
federalist,federalist_57,701,undirected
federalist,federalist_58,738,undirected
federalist,federalist_59,733,undirected
federalist,federalist_6,572,undirected
federalist,federalist_60,715,undirected
federalist,federalist_61,627,undirected
federalist,federalist_62,743,undirected
federalist,federalist_63,822,undirected
federalist,federalist_64,617,undirected
federalist,federalist_65,653,undirected
federalist,federalist_66,722,undirected
federalist,federalist_67,671,undirected
federalist,federalist_68,712,undirected
federalist,federalist_69,690,undirected
federalist,federalist_7,648,undirected
federalist,federalist_70,756,undirected
federalist,federalist_71,660,undirected
federalist,federalist_72,683,undirected
federalist,federalist_73,677,undirected
federalist,federalist_74,551,undirected
federalist,federalist_75,587,undirected
federalist,federalist_76,656,undirected
federalist,federalist_77,673,undirected
federalist,federalist_78,756,undirected
federalist,federalist_79,693,undirected
federalist,federalist_8,745,undirected
federalist,federalist_80,705,undirected
federalist,federalist_81,738,undirected
federalist,federalist_82,299,undirected
federalist,federalist_83,998,undirected
federalist,federalist_84,820,undirected
federalist,federalist_85,707,undirected
federalist,federalist_9,668,undirected
federalist_1,federalist,711,undirected
federalist_1,federalist_12,36,undirected
federalist_1,federalist_13,6,undirected
federalist_1,federalist_14,144,undirected
federalist_1,federalist_15,24,undirected
federalist_1,federalist_22,166,undirected
federalist_1,federalist_25,24,undirected
federalist_1,federalist_35,12,undirected
federalist_1,federalist_36,70,undirected
federalist_1,federalist_79,66,undirected
federalist_1,federalist_8,18,undirected
federalist_1,federalist_84,123,undirected
federalist_1,federalist_85,340,undirected
federalist_10,federalist,715,undirected
federalist_10,federalist_20,6,undirected
federalist_10,federalist_37,173,undirected
federalist_10,federalist_4,6,undirected
federalist_10,federalist_41,33,undirected
federalist_10,federalist_48,18,undirected
federalist_10,federalist_5,37,undirected
federalist_10,federalist_51,86,undirected
federalist_10,federalist_53,36,undirected
federalist_10,federalist_57,51,undirected
federalist_10,federalist_62,459,undirected
federalist_10,federalist_63,74,undirected
federalist_10,federalist_72,7,undirected
federalist_10,federalist_79,36,undirected
federalist_11,federalist,680,undirected
federalist_11,federalist_12,762,undirected
federalist_11,federalist_13,379,undirected
federalist_11,federalist_15,147,undirected
federalist_11,federalist_21,6,undirected
federalist_11,federalist_22,222,undirected
federalist_11,federalist_4,150,undirected
federalist_11,federalist_5,402,undirected
federalist_11,federalist_56,41,undirected
federalist_11,federalist_6,462,undirected
federalist_11,federalist_60,49,undirected
federalist_11,federalist_7,729,undirected
federalist_11,federalist_77,8,undirected
federalist_11,federalist_8,162,undirected
federalist_12,federalist,814,undirected
