Source,Target,Weight,Type
ABronte_Agnes,ABronte_Tenant,60,undirected
ABronte_Agnes,Austen_Emma,3,undirected
ABronte_Agnes,Austen_Pride,1,undirected
ABronte_Agnes,Austen_Sense,3,undirected
ABronte_Agnes,CBronte_Jane,17,undirected
ABronte_Agnes,CBronte_Professor,1,undirected
ABronte_Agnes,CBronte_Villette,5,undirected
ABronte_Agnes,EBronte_Wuthering,6,undirected
ABronte_Agnes,Eliot_Middlemarch,2,undirected
ABronte_Agnes,Richardson_Pamela,10,undirected
ABronte_Agnes,Trollope_Barchester,1,undirected
ABronte_Tenant,ABronte_Agnes,60,undirected
ABronte_Tenant,Austen_Pride,1,undirected
ABronte_Tenant,Austen_Sense,2,undirected
ABronte_Tenant,CBronte_Jane,12,undirected
ABronte_Tenant,EBronte_Wuthering,33,undirected
ABronte_Tenant,Richardson_Clarissa,7,undirected
ABronte_Tenant,Richardson_Pamela,22,undirected
Austen_Emma,ABronte_Agnes,3,undirected
Austen_Emma,Austen_Pride,47,undirected
Austen_Emma,Austen_Sense,39,undirected
Austen_Emma,Eliot_Middlemarch,4,undirected
Austen_Emma,Richardson_Clarissa,5,undirected
Austen_Emma,Trollope_Barchester,2,undirected
Austen_Pride,ABronte_Agnes,1,undirected
Austen_Pride,ABronte_Tenant,1,undirected
Austen_Pride,Austen_Emma,47,undirected
Austen_Pride,Austen_Sense,60,undirected
Austen_Pride,Eliot_Middlemarch,1,undirected
Austen_Pride,Fielding_Tom,8,undirected
Austen_Pride,Richardson_Clarissa,5,undirected
Austen_Pride,Trollope_Barchester,7,undirected
Austen_Sense,ABronte_Agnes,3,undirected
Austen_Sense,ABronte_Tenant,2,undirected
Austen_Sense,Austen_Emma,39,undirected
Austen_Sense,Austen_Pride,60,undirected
Austen_Sense,Fielding_Tom,3,undirected
Austen_Sense,Richardson_Clarissa,5,undirected
Austen_Sense,Trollope_Barchester,3,undirected
CBronte_Jane,ABronte_Agnes,17,undirected
CBronte_Jane,ABronte_Tenant,12,undirected
CBronte_Jane,CBronte_Professor,43,undirected
CBronte_Jane,CBronte_Villette,45,undirected
CBronte_Jane,Dickens_Bleak,7,undirected
CBronte_Jane,Dickens_David,4,undirected
CBronte_Jane,EBronte_Wuthering,36,undirected
CBronte_Professor,ABronte_Agnes,1,undirected
CBronte_Professor,CBronte_Jane,43,undirected
CBronte_Professor,CBronte_Villette,57,undirected
CBronte_Professor,Dickens_Bleak,2,undirected
CBronte_Professor,Dickens_David,4,undirected
CBronte_Professor,Dickens_Hard,4,undirected
CBronte_Professor,EBronte_Wuthering,12,undirected
CBronte_Professor,Eliot_Adam,2,undirected
CBronte_Professor,Eliot_Mill,1,undirected
CBronte_Professor,Sterne_Sentimental,11,undirected
CBronte_Professor,Sterne_Tristram,1,undirected
CBronte_Professor,Thackeray_Barry,1,undirected
CBronte_Villette,ABronte_Agnes,5,undirected
CBronte_Villette,CBronte_Jane,45,undirected
CBronte_Villette,CBronte_Professor,57,undirected
CBronte_Villette,Dickens_Bleak,1,undirected
CBronte_Villette,Dickens_David,5,undirected
CBronte_Villette,Dickens_Hard,5,undirected
CBronte_Villette,EBronte_Wuthering,5,undirected
CBronte_Villette,Eliot_Adam,3,undirected
CBronte_Villette,Eliot_Mill,2,undirected
CBronte_Villette,Sterne_Sentimental,1,undirected
Dickens_Bleak,CBronte_Jane,7,undirected
Dickens_Bleak,CBronte_Professor,2,undirected
Dickens_Bleak,CBronte_Villette,1,undirected
Dickens_Bleak,Dickens_David,54,undirected
Dickens_Bleak,Dickens_Hard,47,undirected
Dickens_Bleak,EBronte_Wuthering,1,undirected
Dickens_Bleak,Eliot_Mill,4,undirected
Dickens_Bleak,Sterne_Sentimental,5,undirected
Dickens_Bleak,Sterne_Tristram,4,undirected
Dickens_Bleak,Thackeray_Barry,1,undirected
Dickens_Bleak,Thackeray_Pendennis,13,undirected
Dickens_Bleak,Thackeray_Vanity,6,undirected
Dickens_David,CBronte_Jane,4,undirected
Dickens_David,CBronte_Professor,4,undirected
Dickens_David,CBronte_Villette,5,undirected
Dickens_David,Dickens_Bleak,54,undirected
Dickens_David,Dickens_Hard,37,undirected
Dickens_David,EBronte_Wuthering,5,undirected
Dickens_David,Eliot_Adam,7,undirected
Dickens_David,Eliot_Mill,16,undirected
Dickens_David,Sterne_Sentimental,5,undirected
Dickens_David,Thackeray_Vanity,2,undirected
Dickens_Hard,CBronte_Professor,4,undirected
Dickens_Hard,CBronte_Villette,5,undirected
Dickens_Hard,Dickens_Bleak,47,undirected
Dickens_Hard,Dickens_David,37,undirected
Dickens_Hard,Eliot_Adam,3,undirected
Dickens_Hard,Eliot_Middlemarch,1,undirected
Dickens_Hard,Eliot_Mill,15,undirected
EBronte_Wuthering,ABronte_Agnes,6,undirected
EBronte_Wuthering,ABronte_Tenant,33,undirected
EBronte_Wuthering,CBronte_Jane,36,undirected
EBronte_Wuthering,CBronte_Professor,12,undirected
EBronte_Wuthering,CBronte_Villette,5,undirected
EBronte_Wuthering,Dickens_Bleak,1,undirected
EBronte_Wuthering,Dickens_David,5,undirected
EBronte_Wuthering,Richardson_Pamela,1,undirected
EBronte_Wuthering,Thackeray_Pendennis,1,undirected
Eliot_Adam,CBronte_Professor,2,undirected
Eliot_Adam,CBronte_Villette,3,undirected
Eliot_Adam,Dickens_David,7,undirected
Eliot_Adam,Dickens_Hard,3,undirected
Eliot_Adam,Eliot_Middlemarch,31,undirected
Eliot_Adam,Eliot_Mill,54,undirected
Eliot_Adam,Trollope_Barchester,1,undirected
Eliot_Middlemarch,ABronte_Agnes,2,undirected
Eliot_Middlemarch,Austen_Emma,4,undirected
Eliot_Middlemarch,Austen_Pride,1,undirected
Eliot_Middlemarch,Dickens_Hard,1,undirected
Eliot_Middlemarch,Eliot_Adam,31,undirected
Eliot_Middlemarch,Eliot_Mill,47,undirected
Eliot_Middlemarch,Fielding_Joseph,3,undirected
Eliot_Middlemarch,Fielding_Tom,1,undirected
Eliot_Middlemarch,Trollope_Barchester,22,undirected
Eliot_Middlemarch,Trollope_Phineas,15,undirected
Eliot_Middlemarch,Trollope_Prime,10,undirected
Eliot_Mill,CBronte_Professor,1,undirected
Eliot_Mill,CBronte_Villette,2,undirected
Eliot_Mill,Dickens_Bleak,4,undirected
Eliot_Mill,Dickens_David,16,undirected
Eliot_Mill,Dickens_Hard,15,undirected
Eliot_Mill,Eliot_Adam,54,undirected
Eliot_Mill,Eliot_Middlemarch,47,undirected
Eliot_Mill,Thackeray_Vanity,1,undirected
Eliot_Mill,Trollope_Phineas,2,undirected
Fielding_Joseph,Eliot_Middlemarch,3,undirected
Fielding_Joseph,Fielding_Tom,58,undirected
Fielding_Joseph,Richardson_Clarissa,3,undirected
Fielding_Joseph,Sterne_Tristram,15,undirected
Fielding_Joseph,Thackeray_Barry,24,undirected
Fielding_Joseph,Trollope_Barchester,13,undirected
Fielding_Tom,Austen_Pride,8,undirected
Fielding_Tom,Austen_Sense,3,undirected
Fielding_Tom,Eliot_Middlemarch,1,undirected
Fielding_Tom,Fielding_Joseph,58,undirected
Fielding_Tom,Richardson_Clarissa,21,undirected
Fielding_Tom,Richardson_Pamela,2,undirected
Fielding_Tom,Trollope_Barchester,10,undirected
Fielding_Tom,Trollope_Prime,6,undirected
Richardson_Clarissa,ABronte_Tenant,7,undirected
Richardson_Clarissa,Austen_Emma,5,undirected
Richardson_Clarissa,Austen_Pride,5,undirected
Richardson_Clarissa,Austen_Sense,5,undirected
Richardson_Clarissa,Fielding_Joseph,3,undirected
Richardson_Clarissa,Fielding_Tom,21,undirected
Richardson_Clarissa,Richardson_Pamela,54,undirected
Richardson_Clarissa,Trollope_Barchester,1,undirected
Richardson_Pamela,ABronte_Agnes,10,undirected
Richardson_Pamela,ABronte_Tenant,22,undirected
Richardson_Pamela,EBronte_Wuthering,1,undirected
Richardson_Pamela,Fielding_Tom,2,undirected
Richardson_Pamela,Richardson_Clarissa,54,undirected
Sterne_Sentimental,CBronte_Professor,11,undirected
Sterne_Sentimental,CBronte_Villette,1,undirected
Sterne_Sentimental,Dickens_Bleak,5,undirected
Sterne_Sentimental,Dickens_David,5,undirected
Sterne_Sentimental,Sterne_Tristram,60,undirected
Sterne_Sentimental,Thackeray_Barry,8,undirected
Sterne_Sentimental,Thackeray_Vanity,1,undirected
Sterne_Sentimental,Trollope_Barchester,2,undirected
Sterne_Tristram,CBronte_Professor,1,undirected
Sterne_Tristram,Dickens_Bleak,4,undirected
Sterne_Tristram,Fielding_Joseph,15,undirected
Sterne_Tristram,Sterne_Sentimental,60,undirected
Sterne_Tristram,Thackeray_Barry,9,undirected
Sterne_Tristram,Trollope_Barchester,4,undirected
Thackeray_Barry,CBronte_Professor,1,undirected
Thackeray_Barry,Dickens_Bleak,1,undirected
Thackeray_Barry,Fielding_Joseph,24,undirected
Thackeray_Barry,Sterne_Sentimental,8,undirected
Thackeray_Barry,Sterne_Tristram,9,undirected
Thackeray_Barry,Thackeray_Pendennis,39,undirected
Thackeray_Barry,Thackeray_Vanity,51,undirected
Thackeray_Pendennis,Dickens_Bleak,13,undirected
Thackeray_Pendennis,EBronte_Wuthering,1,undirected
Thackeray_Pendennis,Thackeray_Barry,39,undirected
Thackeray_Pendennis,Thackeray_Vanity,59,undirected
Thackeray_Vanity,Dickens_Bleak,6,undirected
Thackeray_Vanity,Dickens_David,2,undirected
Thackeray_Vanity,Eliot_Mill,1,undirected
Thackeray_Vanity,Sterne_Sentimental,1,undirected
Thackeray_Vanity,Thackeray_Barry,51,undirected
Thackeray_Vanity,Thackeray_Pendennis,59,undirected
Trollope_Barchester,ABronte_Agnes,1,undirected
Trollope_Barchester,Austen_Emma,2,undirected
Trollope_Barchester,Austen_Pride,7,undirected
Trollope_Barchester,Austen_Sense,3,undirected
Trollope_Barchester,Eliot_Adam,1,undirected
Trollope_Barchester,Eliot_Middlemarch,22,undirected
Trollope_Barchester,Fielding_Joseph,13,undirected
Trollope_Barchester,Fielding_Tom,10,undirected
Trollope_Barchester,Richardson_Clarissa,1,undirected
Trollope_Barchester,Sterne_Sentimental,2,undirected
Trollope_Barchester,Sterne_Tristram,4,undirected
Trollope_Barchester,Trollope_Phineas,45,undirected
Trollope_Barchester,Trollope_Prime,36,undirected
Trollope_Phineas,Eliot_Middlemarch,15,undirected
Trollope_Phineas,Eliot_Mill,2,undirected
Trollope_Phineas,Trollope_Barchester,45,undirected
Trollope_Phineas,Trollope_Prime,57,undirected
Trollope_Prime,Eliot_Middlemarch,10,undirected
Trollope_Prime,Fielding_Tom,6,undirected
Trollope_Prime,Trollope_Barchester,36,undirected
Trollope_Prime,Trollope_Phineas,57,undirected
