"federalist" "federalist_1" "federalist_10" "federalist_11" "federalist_12" "federalist_13" "federalist_14" "federalist_15" "federalist_16" "federalist_17" "federalist_18" "federalist_19" "federalist_2" "federalist_20" "federalist_21" "federalist_22" "federalist_23" "federalist_24" "federalist_25" "federalist_26" "federalist_27" "federalist_28" "federalist_29" "federalist_3" "federalist_30" "federalist_31" "federalist_32" "federalist_33" "federalist_34" "federalist_35" "federalist_36" "federalist_37" "federalist_38" "federalist_39" "federalist_4" "federalist_40" "federalist_41" "federalist_42" "federalist_43" "federalist_44" "federalist_45" "federalist_46" "federalist_47" "federalist_48" "federalist_49" "federalist_5" "federalist_50" "federalist_51" "federalist_52" "federalist_53" "federalist_54" "federalist_55" "federalist_56" "federalist_57" "federalist_58" "federalist_59" "federalist_6" "federalist_60" "federalist_61" "federalist_62" "federalist_63" "federalist_64" "federalist_65" "federalist_66" "federalist_67" "federalist_68" "federalist_69" "federalist_7" "federalist_70" "federalist_71" "federalist_72" "federalist_73" "federalist_74" "federalist_75" "federalist_76" "federalist_77" "federalist_78" "federalist_79" "federalist_8" "federalist_80" "federalist_81" "federalist_82" "federalist_83" "federalist_84" "federalist_85" "federalist_9"
"the" 9.33381180632097 8.24615384615385 8.7215064420218 7.55537974683544 8.24931255728689 7.7079107505071 9.42263279445728 8.30650354153252 9.59302325581395 10.4767879548306 11.4700374531835 10.2700096432015 6.40569395017794 9.19689119170985 9.23535253227408 8.37535014005602 10.4918032786885 7.51359367276322 8.89662027833002 8.52036575228595 10.391363022942 10.4907975460123 9.9511328298534 6.47580095432856 8.35850956696878 9.39635535307517 10.1391650099404 9.40970192869667 8.4525939177102 8.3956043956044 9.03614457831325 8.50986121256392 8.2461906184643 11.5252947888931 5.29482551143201 9.73770491803279 9.50644980370163 9.46428571428571 10.4317589104607 10.8904109589041 13.1873252562908 11.6040955631399 11.9580924855491 8.99947061937533 10.7738095238095 4.98533724340176 9.17186108637578 10.6481481481481 10.0912506709608 9.01601830663616 10.2475247524752 8.98058252427184 8.84109916367981 9.8974587605885 10.2175969725639 9.34917355371901 8.63148479427549 10.0263852242744 10.0129198966408 8.08333333333333 9.56749672346003 7.6063601203266 10.9421000981354 11.0868616324749 11.1111111111111 9.47093403004572 10.7846410684474 9.0713671539123 9.12061794414736 10.3800340328985 8.78214459000485 8.87400586019255 10.6031128404669 10.7598164201938 8.8159917990774 9.23076923076923 10.2147039687703 8.59598853868195 7.76652194886638 10.3922361504246 9.96948118006104 10.8681672025723 8.29776336008195 9.26320777067046 9.04411764705882 8.55721393034826
"of" 6.15948529977187 6.52307692307692 5.18665345226297 7.15981012658228 6.50779101741522 5.98377281947262 5.77367205542725 6.34256278171281 6.97674418604651 6.96361355081556 6.36704119850187 6.07521697203472 4.92289442467378 5.31088082901554 7.54716981132075 6.80672268907563 5.57377049180328 5.93178447849728 6.2624254473161 6.19285120532003 6.34278002699055 6.01226993865031 6.84140382052421 4.22631220177232 5.74018126888217 6.03644646924829 6.09675281643472 5.31852717708942 6.17173524150268 5.75824175824176 6.49263721552878 5.88020452885318 5.70660292799522 6.00988969189806 4.33212996389892 5.73770491803279 5.74873808188446 6.57142857142857 6.46189510286873 5.89041095890411 6.71015843429636 6.18126659082291 6.82803468208092 5.29380624669137 6.19047619047619 3.88563049853372 5.34283170080142 5.8641975308642 5.47504025764895 5.90389016018307 5.84158415841584 6.01941747572816 7.22819593787336 6.82122157824342 5.62913907284768 5.9400826446281 7.5134168157424 6.46437994722955 6.58914728682171 6.04166666666667 5.76671035386632 4.29737859905458 6.47693817468106 7.37669140113488 6.60660660660661 5.81319399085565 7.81302170283806 6.79277730008598 5.79322638146168 5.72887124220079 5.87093643862203 6.02762662201758 8.26848249027237 7.64915859255482 5.99692465402358 7.24565756823821 6.11581001951854 5.2531041069723 6.56054027978775 6.8742418115649 6.33265513733469 6.04501607717042 5.65135735017927 6.94148306088605 6.32352941176471 7.71144278606965
"to" 3.68082434060441 4.43076923076923 3.30360092500826 3.3623417721519 3.8038496791934 4.46247464503043 3.37182448036951 3.79909851899549 4.36046511627907 3.70138017565872 2.5749063670412 2.89296046287367 3.1435349940688 2.78497409326425 2.73088381330685 4.06162464985994 5.3551912568306 4.54770143351458 4.52286282306163 3.99002493765586 4.31848852901484 4.11042944785276 4.9755664149267 3.8173142467621 3.82678751258812 4.66970387243736 3.11464546056991 3.91583869082408 4.78533094812165 4.43956043956044 4.35073627844712 3.10445580715851 3.52554526441589 3.49942944085204 3.06859205776173 3.9672131147541 3.33707234997196 3.32142857142857 3.24543610547667 2.77397260273973 3.12208760484623 3.26128175957527 2.34826589595376 2.91159343568025 3.51190476190476 3.29912023460411 2.58236865538736 2.57201646090535 3.86473429951691 3.34096109839817 3.01980198019802 3.78640776699029 2.5089605734767 3.34373606776638 2.88552507095553 3.82231404958678 2.72808586762075 3.8698328935796 4.00516795865633 3.33333333333333 2.88335517693316 3.78169316716803 4.17075564278705 3.7538192928852 5.04504504504505 4.96407576747224 3.40567612687813 3.52536543422184 3.98098633392751 4.42427680090754 4.80349344978166 3.4742570113018 3.50194552529183 4.64048954614992 4.25422860071758 3.57320099255583 4.16395575797007 4.01146131805158 3.85914134105162 4.60978568540235 4.14547304170905 5.33762057877814 3.75618917534574 3.34044065387349 4.22794117647059 3.53233830845771
"and" 2.66218952656807 2.46153846153846 4.03039312851008 2.80854430379747 2.84142988084326 1.82555780933063 2.77136258660508 2.38248551191243 2.03488372093023 3.26223337515684 3.69850187265918 3.95371263259402 4.98220640569395 3.49740932642487 2.43296921549156 2.3249299719888 3.06010928961749 2.91646070192783 2.28628230616302 2.03657522859518 2.22672064777328 2.14723926380368 2.62105730786317 4.15814587593729 2.26586102719033 2.50569476082005 2.71703114645461 2.57159555815313 2.14669051878354 2.85714285714286 2.57697456492637 3.68882395909423 2.8383627128772 2.43438569798402 5.47533092659446 3.31147540983607 2.46775098149187 3.42857142857143 2.28919153868444 3.01369863013699 2.93569431500466 2.80621918847175 3.14306358381503 2.6998411858126 2.5 5.35190615835777 2.93855743544078 2.10905349794239 1.98604401502952 2.83752860411899 1.88118811881188 2.33009708737864 3.2258064516129 2.4074899687918 2.2232734153264 1.75619834710744 3.62254025044723 1.62708883025506 1.61498708010336 2.875 2.22804718217562 4.42629995702621 1.81550539744848 1.83326058489742 2.76276276276276 1.95950359242325 3.47245409015025 2.19260533104041 2.49554367201426 2.21213840045377 2.57156720038816 1.79991628296358 2.43190661478599 1.83579806221316 2.46027678113788 2.08436724565757 2.40728692257645 2.29226361031519 2.60492040520984 2.74969672462596 2.26347914547304 2.63665594855305 2.06590404644016 2.1558872305141 2.68382352941176 2.28855721393035
"in" 2.31615102658088 1.66153846153846 2.0812685827552 2.6503164556962 2.52062328139322 1.62271805273834 1.84757505773672 2.35028976175145 1.88953488372093 1.81932245922208 1.91947565543071 1.97685631629701 2.01660735468565 2.5259067357513 2.38331678252234 2.40896358543417 1.4207650273224 2.7681660899654 1.98807157057654 2.70157938487116 2.09176788124157 2.51533742331288 1.82141270546424 1.70415814587594 2.46727089627392 2.79043280182232 2.65076209410205 1.92869666861485 2.45974955277281 2.06593406593407 2.30923694779116 2.3009495982469 1.85240513893039 2.77672118676303 1.44404332129964 2.22950819672131 1.76668536174986 2.21428571428571 1.59374094465372 2.26027397260274 1.86393289841566 1.74440652256352 2.23988439306358 2.38221281101112 2.02380952380952 2.05278592375367 2.493321460374 2.57201646090535 1.77133655394525 2.05949656750572 3.21782178217822 1.45631067961165 1.97132616487455 1.82790905037896 2.74361400189215 3.20247933884298 2.68336314847943 3.56200527704485 3.03617571059432 2.08333333333333 2.22804718217562 2.27761065749893 2.50245338567223 3.09908336970755 2.16216216216216 2.61267145656434 2.30383973288815 1.84866723989682 2.82234105763518 2.2688598979013 1.69820475497331 2.59522812892424 2.33463035019455 2.24375318714941 2.56278831368529 3.0272952853598 2.2121014964216 3.34288443170965 2.0260492040521 1.900525677315 3.43336724313327 2.44372990353698 3.65374765238177 2.1558872305141 2.68382352941176 1.8407960199005
"a" 2.07981954733038 1.53846153846154 2.60984473075652 2.76898734177215 2.15398716773602 2.6369168356998 1.70900692840647 2.22150676110753 1.79263565891473 1.88205771643664 1.73220973782772 1.30183220829315 1.77935943060498 1.81347150259067 3.17775571002979 2.74509803921569 1.36612021857923 2.52100840336134 2.18687872763419 2.20282626766417 2.02429149797571 2.02453987730061 2.22123500666371 0.886162235855487 1.91339375629406 1.36674259681093 2.38568588469185 2.57159555815313 2.01252236135957 1.97802197802198 1.50602409638554 2.081811541271 2.74873020615477 2.01597565614302 0.962695547533093 1.77049180327869 2.27145260796411 1.78571428571429 2.69487105186902 1.47260273972603 0.931966449207829 1.59271899886234 1.26445086705202 1.85283218634198 2.02380952380952 0.659824046920821 1.246660730187 2.36625514403292 1.87869028448739 2.19679633867277 1.73267326732673 2.33009708737864 2.8673835125448 1.64957646009808 2.41248817407758 2.53099173553719 2.32558139534884 2.33069481090589 2.2609819121447 3.125 1.90039318479685 1.37516115169746 2.15897939156035 2.18245307725884 1.44144144144144 1.95950359242325 2.20367278797997 2.06362854686156 2.13903743315508 2.55246738513897 2.66860747210092 2.67894516534115 2.62645914396887 2.65170831208567 2.46027678113788 3.17617866004963 1.88679245283019 2.19675262655205 2.17076700434153 1.53659522846745 2.21261444557477 1.41479099678457 2.37322861533208 1.70575692963753 2.5 2.38805970149254
"be" 1.97165047548253 2.09230769230769 2.01519656425504 1.74050632911392 1.83318056828598 2.53549695740365 2.07852193995381 1.41661300708307 2.66472868217054 1.50564617314931 0.280898876404494 0.675024108003857 0.889679715302491 0.453367875647668 1.98609731876862 1.51260504201681 2.45901639344262 2.57043994068216 2.5844930417495 2.24438902743142 2.29419703103914 2.51533742331288 2.22123500666371 2.11315610088616 2.46727089627392 2.0501138952164 1.98807157057654 1.87025131502046 1.8783542039356 1.97802197802198 2.74431057563588 1.71658144631118 1.52375261428145 1.97793837961202 1.56438026474128 1.77049180327869 2.07515423443634 1.71428571428571 2.26021443059983 1.84931506849315 2.42311276794035 2.73037542662116 1.26445086705202 1.69401799894124 2.79761904761905 2.27272727272727 2.76046304541407 3.24074074074074 2.46913580246914 2.33409610983982 1.98019801980198 2.52427184466019 2.2700119474313 1.91707534551939 2.50709555345317 2.27272727272727 0.805008944543828 2.94635004397537 2.39018087855297 2.54166666666667 1.96592398427261 2.44950580146111 3.18940137389598 1.70231340026189 1.08108108108108 2.3514043109079 1.70283806343907 2.02063628546862 1.15864527629234 2.15541690300624 1.9893255701116 2.05106739221432 2.33463035019455 1.4278429372769 2.97283444387494 1.88585607940447 2.14703968770332 2.86532951289398 1.68837433671008 1.94096239385362 2.1617497456765 2.31511254019293 1.79272665186956 2.22696043591566 1.25 1.29353233830846
"that" 1.43952015994668 1.72307692307692 1.02411628675256 0.988924050632911 1.23739688359303 1.82555780933063 1.52424942263279 1.22343850611719 0.775193798449612 1.31744040150565 0.98314606741573 0.626808100289296 2.60972716488731 0.582901554404145 1.19165839126117 1.48459383753501 1.53005464480874 1.63124073158675 1.54075546719682 1.74563591022444 2.56410256410256 1.22699386503067 1.33274100399822 1.36332651670075 1.56092648539778 1.70842824601367 2.12060967528164 1.87025131502046 1.92307692307692 1.62637362637363 1.47255689424364 1.71658144631118 1.67314012548551 1.06504374286801 1.02286401925391 2.0655737704918 1.17779024116657 1.14285714285714 1.44885540423066 0.958904109589041 1.39794967381174 1.47895335608646 1.30057803468208 1.42932768660667 1.25 1.68621700879765 1.06856634016028 1.28600823045267 1.61030595813205 1.09839816933638 1.38613861386139 1.55339805825243 1.13500597371565 1.38207757467677 1.60832544938505 1.49793388429752 1.07334525939177 2.02286719437115 2.0671834625323 1.45833333333333 1.63826998689384 1.97679415556511 1.17762512266928 1.57136621562636 0.960960960960961 1.30633572828217 1.53589315525876 1.16079105760963 1.15864527629234 1.24787294384572 0.921882581271228 1.67434072833822 1.26459143968872 1.78480367159612 1.742696053306 1.58808933002481 2.2121014964216 1.81470869149952 0.868306801736614 1.01091791346543 1.24618514750763 1.22186495176849 2.06590404644016 1.99004975124378 1.25 1.24378109452736
"it" 1.3149462999513 1.23076923076923 1.55269243475388 0.830696202531646 1.19156736938588 0.608519269776876 1.43187066974596 0.965872504829362 1.79263565891473 1.00376411543287 1.21722846441948 0.916104146576664 2.25385527876631 0.77720207253886 0.844091360476663 1.28851540616247 1.2568306010929 1.13692535837865 1.29224652087475 1.78719866999169 1.417004048583 1.10429447852761 1.86583740559751 1.43149284253579 1.46022155085599 1.5375854214123 1.59045725646123 2.27936879018118 1.02862254025045 1.14285714285714 1.30522088353414 1.35135135135135 1.46399760979982 1.67364016736402 1.68471720818291 1.14754098360656 1.45821648906338 1.03571428571429 1.65169516082295 0.650684931506849 0.885368126747437 1.2135001896094 0.794797687861272 1.27051349920593 1.54761904761905 1.53958944281525 1.42475512021371 1.64609053497942 1.71765968867418 0.823798627002288 1.33663366336634 0.825242718446602 1.194743130227 1.15916183682568 1.1352885525071 1.70454545454545 0.491949910554562 1.84696569920844 1.61498708010336 1.29166666666667 1.31061598951507 1.28921357971637 1.61923454367026 1.52771715408119 1.2012012012012 1.30633572828217 1.0016694490818 0.730868443680138 1.24777183600713 1.70164492342598 1.06744298884037 1.79991628296358 1.36186770428016 1.37684854665987 1.33264992311635 1.43920595533499 1.75666883539362 1.24164278892073 1.01302460202605 1.25353821269713 1.65310274669379 0.836012861736334 1.74150589038757 1.51622838190002 1.50735294117647 1.19402985074627
"is" 1.13756952810602 0.8 1.38751238850347 0.356012658227848 1.00824931255729 0.912778904665314 1.15473441108545 1.54539600772698 0.678294573643411 0.6900878293601 0.468164794007491 0.77145612343298 0.948991696322657 0.971502590673575 1.34061569016882 1.34453781512605 1.2568306010929 0.494315373208107 0.84493041749503 1.03906899418121 0.944669365721997 0.858895705521472 1.3771657041315 0.477164280845262 0.755287009063444 1.30979498861048 1.06030483764082 1.51957919345412 0.715563506261181 1.8021978021978 1.17135207496653 1.09569028487947 1.70301762772632 2.16812476226702 0.601684717208183 0.950819672131147 1.06561974200785 1.39285714285714 0.985221674876847 0.958904109589041 1.071761416589 0.265453166477057 1.55346820809249 1.5352038115405 1.07142857142857 0.513196480938416 0.534283170080142 1.02880658436214 1.0198604401503 1.28146453089245 1.73267326732673 1.21359223300971 0.657108721624851 1.51582701738743 0.804162724692526 0.878099173553719 0.35778175313059 1.23131046613896 0.645994832041344 1.54166666666667 1.17955439056356 0.730554361839278 0.834151128557409 1.26582278481013 1.08108108108108 1.24101894186806 1.76961602671119 0.60189165950129 1.63398692810458 0.794100964265457 1.16448326055313 1.21389702804521 1.07003891050584 0.866904640489546 1.02511532547412 1.04218362282878 1.59401431359792 1.05062082139446 1.01302460202605 0.930044480388192 1.55137334689725 0.964630225080386 1.98053611063684 1.61099265576878 1.39705882352941 0.796019900497512
